any;comarca o Aran;sexe;nivell de formació assolit;concepte;estat;valor
2022;Alt Camp;total;educació primària incompleta;població de 15 anys o més;;1221
2022;Alt Camp;total;educació primària;població de 15 anys o més;;4155
2022;Alt Camp;total;primera etapa d’educació secundària i similar;població de 15 anys o més;;13725
2022;Alt Camp;total;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;3795
2022;Alt Camp;total;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;4575
2022;Alt Camp;total;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;4224
2022;Alt Camp;total;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;3297
2022;Alt Camp;total;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;2406
2022;Alt Camp;total;màsters universitaris i similars;població de 15 anys o més;;909
2022;Alt Camp;total;doctorat universitari;població de 15 anys o més;;234
2022;Alt Camp;total;total;població de 15 anys o més;;38631
2022;Alt Empordà;homes;analfabetisme;població de 15 anys o més;;120
2022;Alt Empordà;homes;educació primària incompleta;població de 15 anys o més;;2535
2022;Alt Empordà;homes;educació primària;població de 15 anys o més;;8082
2022;Alt Empordà;homes;primera etapa d’educació secundària i similar;població de 15 anys o més;;22308
2022;Alt Empordà;homes;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;9327
2022;Alt Empordà;homes;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;5691
2022;Alt Empordà;homes;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;4005
2022;Alt Empordà;homes;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;4113
2022;Alt Empordà;homes;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;3414
2022;Alt Empordà;homes;màsters universitaris i similars;població de 15 anys o més;;942
2022;Alt Empordà;homes;doctorat universitari;població de 15 anys o més;;456
2022;Alt Empordà;homes;total;població de 15 anys o més;;60996
2022;Alt Empordà;dones;analfabetisme;població de 15 anys o més;;183
2022;Alt Empordà;dones;educació primària incompleta;població de 15 anys o més;;2796
2022;Alt Empordà;dones;educació primària;població de 15 anys o més;;8817
2022;Alt Empordà;dones;primera etapa d’educació secundària i similar;població de 15 anys o més;;19056
2022;Alt Empordà;dones;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;9087
2022;Alt Empordà;dones;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;5196
2022;Alt Empordà;dones;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;3738
2022;Alt Empordà;dones;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;6012
2022;Alt Empordà;dones;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;4428
2022;Alt Empordà;dones;màsters universitaris i similars;població de 15 anys o més;;1332
2022;Alt Empordà;dones;doctorat universitari;població de 15 anys o més;;351
2022;Alt Empordà;dones;total;població de 15 anys o més;;60999
2022;Alt Empordà;total;analfabetisme;població de 15 anys o més;;306
2022;Alt Empordà;total;educació primària incompleta;població de 15 anys o més;;5331
2022;Alt Empordà;total;educació primària;població de 15 anys o més;;16902
2022;Alt Empordà;total;primera etapa d’educació secundària i similar;població de 15 anys o més;;41361
2022;Alt Empordà;total;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;18414
2022;Alt Empordà;total;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;10884
2022;Alt Empordà;total;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;7740
2022;Alt Empordà;total;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;10125
2022;Alt Empordà;total;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;7842
2022;Alt Empordà;total;màsters universitaris i similars;població de 15 anys o més;;2274
2022;Alt Empordà;total;doctorat universitari;població de 15 anys o més;;810
2022;Alt Empordà;total;total;població de 15 anys o més;;121998
2022;Alt Penedès;homes;analfabetisme;població de 15 anys o més;;33
2022;Alt Penedès;homes;educació primària incompleta;població de 15 anys o més;;786
2022;Alt Penedès;homes;educació primària;població de 15 anys o més;;4815
2022;Alt Penedès;homes;primera etapa d’educació secundària i similar;població de 15 anys o més;;15855
2022;Alt Penedès;homes;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;5169
2022;Alt Penedès;homes;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;6255
2022;Alt Penedès;homes;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;5217
2022;Alt Penedès;homes;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;3834
2022;Alt Penedès;homes;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;3042
2022;Alt Penedès;homes;màsters universitaris i similars;població de 15 anys o més;;855
2022;Alt Penedès;homes;doctorat universitari;població de 15 anys o més;;390
2022;Alt Penedès;homes;total;població de 15 anys o més;;46260
2022;Alt Penedès;dones;analfabetisme;població de 15 anys o més;;126
2022;Alt Penedès;dones;educació primària incompleta;població de 15 anys o més;;1365
2022;Alt Penedès;dones;educació primària;població de 15 anys o més;;6192
2022;Alt Penedès;dones;primera etapa d’educació secundària i similar;població de 15 anys o més;;12807
2022;Alt Penedès;dones;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;5043
2022;Alt Penedès;dones;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;5508
2022;Alt Penedès;dones;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;4662
2022;Alt Penedès;dones;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;5430
2022;Alt Penedès;dones;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;3888
2022;Alt Penedès;dones;màsters universitaris i similars;població de 15 anys o més;;1365
2022;Alt Penedès;dones;doctorat universitari;població de 15 anys o més;;363
2022;Alt Penedès;dones;total;població de 15 anys o més;;46746
2022;Alt Penedès;total;analfabetisme;població de 15 anys o més;;159
2022;Alt Penedès;total;educació primària incompleta;població de 15 anys o més;;2154
2022;Alt Penedès;total;educació primària;població de 15 anys o més;;11010
2022;Alt Penedès;total;primera etapa d’educació secundària i similar;població de 15 anys o més;;28659
2022;Alt Penedès;total;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;10212
2022;Alt Penedès;total;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;11763
2022;Alt Penedès;total;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;9879
2022;Alt Penedès;total;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;9264
2022;Alt Penedès;total;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;6927
2022;Alt Penedès;total;màsters universitaris i similars;població de 15 anys o més;;2220
2022;Alt Penedès;total;doctorat universitari;població de 15 anys o més;;753
2022;Alt Penedès;total;total;població de 15 anys o més;;93006
2022;Alt Urgell;homes;analfabetisme;població de 15 anys o més;;12
2022;Alt Urgell;homes;educació primària incompleta;població de 15 anys o més;;234
2022;Alt Urgell;homes;educació primària;població de 15 anys o més;;981
2022;Alt Urgell;homes;primera etapa d’educació secundària i similar;població de 15 anys o més;;2883
2022;Alt Urgell;homes;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;1362
2022;Alt Urgell;homes;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;1023
2022;Alt Urgell;homes;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;876
2022;Alt Urgell;homes;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;669
2022;Alt Urgell;homes;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;591
2022;Alt Urgell;homes;màsters universitaris i similars;població de 15 anys o més;;195
2022;Alt Urgell;homes;doctorat universitari;població de 15 anys o més;;87
2022;Alt Urgell;homes;total;població de 15 anys o més;;8916
2022;Alt Urgell;dones;analfabetisme;població de 15 anys o més;;18
2022;Alt Urgell;dones;educació primària incompleta;població de 15 anys o més;;345
2022;Alt Urgell;dones;educació primària;població de 15 anys o més;;1071
2022;Alt Urgell;dones;primera etapa d’educació secundària i similar;població de 15 anys o més;;2319
2022;Alt Urgell;dones;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;1293
2022;Alt Urgell;dones;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;870
2022;Alt Urgell;dones;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;699
2022;Alt Urgell;dones;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;1149
2022;Alt Urgell;dones;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;768
2022;Alt Urgell;dones;màsters universitaris i similars;població de 15 anys o més;;324
2022;Alt Urgell;dones;doctorat universitari;població de 15 anys o més;;90
2022;Alt Urgell;dones;total;població de 15 anys o més;;8952
2022;Alt Urgell;total;analfabetisme;població de 15 anys o més;;30
2022;Alt Urgell;total;educació primària incompleta;població de 15 anys o més;;582
2022;Alt Urgell;total;educació primària;població de 15 anys o més;;2055
2022;Alt Urgell;total;primera etapa d’educació secundària i similar;població de 15 anys o més;;5205
2022;Alt Urgell;total;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;2658
2022;Alt Urgell;total;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;1893
2022;Alt Urgell;total;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;1572
2022;Alt Urgell;total;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;1818
2022;Alt Urgell;total;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;1356
2022;Alt Urgell;total;màsters universitaris i similars;població de 15 anys o més;;522
2022;Alt Urgell;total;doctorat universitari;població de 15 anys o més;;177
2022;Alt Urgell;total;total;població de 15 anys o més;;17865
2022;Alta Ribagorça;homes;analfabetisme;població de 15 anys o més;;3
2022;Alta Ribagorça;homes;educació primària incompleta;població de 15 anys o més;;45
2022;Alta Ribagorça;homes;educació primària;població de 15 anys o més;;156
2022;Alta Ribagorça;homes;primera etapa d’educació secundària i similar;població de 15 anys o més;;510
2022;Alta Ribagorça;homes;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;273
2022;Alta Ribagorça;homes;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;225
2022;Alta Ribagorça;homes;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;207
2022;Alta Ribagorça;homes;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;162
2022;Alta Ribagorça;homes;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;153
2022;Alta Ribagorça;homes;màsters universitaris i similars;població de 15 anys o més;;33
2022;Alta Ribagorça;homes;doctorat universitari;població de 15 anys o més;;15
2022;Alta Ribagorça;homes;total;població de 15 anys o més;;1785
2022;Alta Ribagorça;dones;analfabetisme;població de 15 anys o més;;6
2022;Alta Ribagorça;dones;educació primària incompleta;població de 15 anys o més;;66
2022;Alta Ribagorça;dones;educació primària;població de 15 anys o més;;210
2022;Alta Ribagorça;dones;primera etapa d’educació secundària i similar;població de 15 anys o més;;384
2022;Alta Ribagorça;dones;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;222
2022;Alta Ribagorça;dones;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;147
2022;Alta Ribagorça;dones;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;156
2022;Alta Ribagorça;dones;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;246
2022;Alta Ribagorça;dones;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;198
2022;Alta Ribagorça;dones;màsters universitaris i similars;població de 15 anys o més;;57
2022;Alta Ribagorça;dones;doctorat universitari;població de 15 anys o més;;18
2022;Alta Ribagorça;dones;total;població de 15 anys o més;;1707
2022;Alta Ribagorça;total;analfabetisme;població de 15 anys o més;;9
2022;Alta Ribagorça;total;educació primària incompleta;població de 15 anys o més;;111
2022;Alta Ribagorça;total;educació primària;població de 15 anys o més;;366
2022;Alta Ribagorça;total;primera etapa d’educació secundària i similar;població de 15 anys o més;;894
2022;Alta Ribagorça;total;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;495
2022;Alta Ribagorça;total;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;372
2022;Alta Ribagorça;total;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;363
2022;Alta Ribagorça;total;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;408
2022;Alta Ribagorça;total;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;348
2022;Alta Ribagorça;total;màsters universitaris i similars;població de 15 anys o més;;87
2022;Alta Ribagorça;total;doctorat universitari;població de 15 anys o més;;36
2022;Alta Ribagorça;total;total;població de 15 anys o més;;3489
2022;Anoia;homes;analfabetisme;població de 15 anys o més;;54
2022;Anoia;homes;educació primària incompleta;població de 15 anys o més;;975
2022;Anoia;homes;educació primària;població de 15 anys o més;;4965
2022;Anoia;homes;primera etapa d’educació secundària i similar;població de 15 anys o més;;19905
2022;Anoia;homes;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;6168
2022;Anoia;homes;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;7353
2022;Anoia;homes;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;5805
2022;Anoia;homes;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;3837
2022;Anoia;homes;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;2700
2022;Anoia;homes;màsters universitaris i similars;població de 15 anys o més;;816
2022;Anoia;homes;doctorat universitari;població de 15 anys o més;;321
2022;Anoia;homes;total;població de 15 anys o més;;52899
2022;Anoia;dones;analfabetisme;població de 15 anys o més;;225
2022;Anoia;dones;educació primària incompleta;població de 15 anys o més;;1857
2022;Anoia;dones;educació primària;població de 15 anys o més;;6177
2022;Anoia;dones;primera etapa d’educació secundària i similar;població de 15 anys o més;;16584
2022;Anoia;dones;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;5634
2022;Anoia;dones;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;6180
2022;Anoia;dones;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;5268
2022;Anoia;dones;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;5385
2022;Anoia;dones;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;3570
2022;Anoia;dones;màsters universitaris i similars;població de 15 anys o més;;1311
2022;Anoia;dones;doctorat universitari;població de 15 anys o més;;312
2022;Anoia;dones;total;població de 15 anys o més;;52506
2022;Anoia;total;analfabetisme;població de 15 anys o més;;282
2022;Anoia;total;educació primària incompleta;població de 15 anys o més;;2832
2022;Anoia;total;educació primària;població de 15 anys o més;;11142
2022;Anoia;total;primera etapa d’educació secundària i similar;població de 15 anys o més;;36492
2022;Anoia;total;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;11799
2022;Anoia;total;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;13533
2022;Anoia;total;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;11073
2022;Anoia;total;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;9222
2022;Anoia;total;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;6270
2022;Anoia;total;màsters universitaris i similars;població de 15 anys o més;;2127
2022;Anoia;total;doctorat universitari;població de 15 anys o més;;633
2022;Anoia;total;total;població de 15 anys o més;;105405
2022;Aran;homes;analfabetisme;població de 15 anys o més;;6
2022;Aran;homes;educació primària incompleta;població de 15 anys o més;;39
2022;Aran;homes;educació primària;població de 15 anys o més;;351
2022;Aran;homes;primera etapa d’educació secundària i similar;població de 15 anys o més;;1341
2022;Aran;homes;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;714
2022;Aran;homes;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;663
2022;Aran;homes;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;516
2022;Aran;homes;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;438
2022;Aran;homes;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;378
2022;Aran;homes;màsters universitaris i similars;població de 15 anys o més;;90
2022;Aran;homes;doctorat universitari;població de 15 anys o més;;36
2022;Aran;homes;total;població de 15 anys o més;;4575
2022;Aran;dones;analfabetisme;població de 15 anys o més;;6
2022;Aran;dones;educació primària incompleta;població de 15 anys o més;;75
2022;Aran;dones;educació primària;població de 15 anys o més;;378
2022;Aran;dones;primera etapa d’educació secundària i similar;població de 15 anys o més;;1095
2022;Aran;dones;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;708
2022;Aran;dones;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;441
2022;Aran;dones;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;390
2022;Aran;dones;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;660
2022;Aran;dones;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;408
2022;Aran;dones;màsters universitaris i similars;població de 15 anys o més;;135
2022;Aran;dones;doctorat universitari;població de 15 anys o més;;33
2022;Aran;dones;total;població de 15 anys o més;;4335
2022;Aran;total;analfabetisme;població de 15 anys o més;;9
2022;Aran;total;educació primària incompleta;població de 15 anys o més;;114
2022;Aran;total;educació primària;població de 15 anys o més;;732
2022;Aran;total;primera etapa d’educació secundària i similar;població de 15 anys o més;;2436
2022;Aran;total;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;1425
2022;Aran;total;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;1104
2022;Aran;total;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;909
2022;Aran;total;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;1101
2022;Aran;total;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;789
2022;Aran;total;màsters universitaris i similars;població de 15 anys o més;;228
2022;Aran;total;doctorat universitari;població de 15 anys o més;;72
2022;Aran;total;total;població de 15 anys o més;;8910
2022;Bages;homes;analfabetisme;població de 15 anys o més;;66
2022;Bages;homes;educació primària incompleta;població de 15 anys o més;;1638
2022;Bages;homes;educació primària;població de 15 anys o més;;7554
2022;Bages;homes;primera etapa d’educació secundària i similar;població de 15 anys o més;;27438
2022;Bages;homes;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;8856
2022;Bages;homes;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;9141
2022;Bages;homes;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;7701
2022;Bages;homes;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;6231
2022;Bages;homes;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;4848
2022;Bages;homes;màsters universitaris i similars;població de 15 anys o més;;1371
2022;Bages;homes;doctorat universitari;població de 15 anys o més;;564
2022;Bages;homes;total;població de 15 anys o més;;75408
2022;Bages;dones;analfabetisme;població de 15 anys o més;;234
2022;Bages;dones;educació primària incompleta;població de 15 anys o més;;2730
2022;Bages;dones;educació primària;població de 15 anys o més;;10041
2022;Bages;dones;primera etapa d’educació secundària i similar;població de 15 anys o més;;23730
2022;Bages;dones;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;8379
2022;Bages;dones;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;7923
2022;Bages;dones;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;7128
2022;Bages;dones;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;8991
2022;Bages;dones;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;5949
2022;Bages;dones;màsters universitaris i similars;població de 15 anys o més;;2208
2022;Bages;dones;doctorat universitari;població de 15 anys o més;;522
2022;Bages;dones;total;població de 15 anys o més;;77829
2022;Bages;total;analfabetisme;població de 15 anys o més;;297
2022;Bages;total;educació primària incompleta;població de 15 anys o més;;4368
2022;Bages;total;educació primària;població de 15 anys o més;;17595
2022;Bages;total;primera etapa d’educació secundària i similar;població de 15 anys o més;;51168
2022;Bages;total;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;17235
2022;Bages;total;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;17064
2022;Bages;total;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;14826
2022;Bages;total;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;15225
2022;Bages;total;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;10794
2022;Bages;total;màsters universitaris i similars;població de 15 anys o més;;3576
2022;Bages;total;doctorat universitari;població de 15 anys o més;;1089
2022;Bages;total;total;població de 15 anys o més;;153243
2022;Baix Camp;homes;analfabetisme;població de 15 anys o més;;288
2022;Baix Camp;homes;educació primària incompleta;població de 15 anys o més;;2034
2022;Baix Camp;homes;educació primària;població de 15 anys o més;;7641
2022;Baix Camp;homes;primera etapa d’educació secundària i similar;població de 15 anys o més;;28392
2022;Baix Camp;homes;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;10464
2022;Baix Camp;homes;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;9183
2022;Baix Camp;homes;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;8460
2022;Baix Camp;homes;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;6450
2022;Baix Camp;homes;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;5682
2022;Baix Camp;homes;màsters universitaris i similars;població de 15 anys o més;;1857
2022;Baix Camp;homes;doctorat universitari;població de 15 anys o més;;768
2022;Baix Camp;homes;total;població de 15 anys o més;;81216
2022;Baix Camp;dones;analfabetisme;població de 15 anys o més;;792
2022;Baix Camp;dones;educació primària incompleta;població de 15 anys o més;;3441
2022;Baix Camp;dones;educació primària;població de 15 anys o més;;9588
2022;Baix Camp;dones;primera etapa d’educació secundària i similar;població de 15 anys o més;;25029
2022;Baix Camp;dones;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;10170
2022;Baix Camp;dones;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;8841
2022;Baix Camp;dones;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;7593
2022;Baix Camp;dones;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;9096
2022;Baix Camp;dones;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;6627
2022;Baix Camp;dones;màsters universitaris i similars;població de 15 anys o més;;2949
2022;Baix Camp;dones;doctorat universitari;població de 15 anys o més;;798
2022;Baix Camp;dones;total;població de 15 anys o més;;84921
2022;Baix Camp;total;analfabetisme;població de 15 anys o més;;1080
2022;Baix Camp;total;educació primària incompleta;població de 15 anys o més;;5475
2022;Baix Camp;total;educació primària;població de 15 anys o més;;17232
2022;Baix Camp;total;primera etapa d’educació secundària i similar;població de 15 anys o més;;53424
2022;Baix Camp;total;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;20634
2022;Baix Camp;total;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;18024
2022;Baix Camp;total;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;16053
2022;Baix Camp;total;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;15546
2022;Baix Camp;total;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;12306
2022;Baix Camp;total;màsters universitaris i similars;població de 15 anys o més;;4803
2022;Baix Camp;total;doctorat universitari;població de 15 anys o més;;1563
2022;Baix Camp;total;total;població de 15 anys o més;;166140
2022;Baix Ebre;homes;analfabetisme;població de 15 anys o més;;33
2022;Baix Ebre;homes;educació primària incompleta;població de 15 anys o més;;1287
2022;Baix Ebre;homes;educació primària;població de 15 anys o més;;4287
2022;Baix Ebre;homes;primera etapa d’educació secundària i similar;població de 15 anys o més;;13140
2022;Baix Ebre;homes;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;4092
2022;Baix Ebre;homes;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;4038
2022;Baix Ebre;homes;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;3036
2022;Baix Ebre;homes;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;2220
2022;Baix Ebre;homes;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;1707
2022;Baix Ebre;homes;màsters universitaris i similars;població de 15 anys o més;;672
2022;Baix Ebre;homes;doctorat universitari;població de 15 anys o més;;198
2022;Baix Ebre;homes;total;població de 15 anys o més;;34707
2022;Baix Ebre;dones;analfabetisme;població de 15 anys o més;;84
2022;Baix Ebre;dones;educació primària incompleta;població de 15 anys o més;;1725
2022;Baix Ebre;dones;educació primària;població de 15 anys o més;;5334
2022;Baix Ebre;dones;primera etapa d’educació secundària i similar;població de 15 anys o més;;10431
2022;Baix Ebre;dones;segona etapa d’educació secundària, amb orientació general;població de 15 anys o més;;3768
2022;Baix Ebre;dones;segona etapa d’educació secundària, amb orientació professional;població de 15 anys o més;;3411
2022;Baix Ebre;dones;ensenyaments de grau superior de formació professional i similars;població de 15 anys o més;;2604
2022;Baix Ebre;dones;graus universitaris de fins a 240 crèdits i similars;població de 15 anys o més;;3282
2022;Baix Ebre;dones;graus universitaris de més de 240 crèdits i similars;població de 15 anys o més;;2073
2022;Baix Ebre;dones;màsters universitaris i similars;població de 15 anys o més;;1104
2022;Baix Ebre;dones;doctorat universitari;població de 15 anys o més;;168
2022;Baix Ebre;dones;total;població de 15 anys o més;;33981
2022;Baix Ebre;total;analfabetisme;població de 15 anys o més;;117
2022;Baix Ebre;total;educació primària incompleta;població de 15 anys o més;;3012
2022;Baix Ebre;total;educació primària;població de 15 anys o més;;9621
2022;Baix Ebre;total;primera etapa d’educació secundària i similar;població de 15 anys o més;;23571
